% Mike Stanley's IMU Data Logger
% Date & Time   Thursday 06 January 2011  -  12:50:24 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Simple pickup of IMU
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 377 -35 579 2 1 354 -516 -534 -529 0 0 
2 375 -45 578 2 2 355 -515 -533 -530 0 0 
3 381 -40 580 2 2 354 -516 -534 -530 0 0 
4 377 -39 580 2 2 353 -515 -533 -529 0 0 
5 377 -39 577 1 1 353 -516 -534 -529 0 0 
6 381 -41 578 1 1 353 -516 -535 -529 0 0 
7 376 -40 578 1 1 353 -516 -534 -529 0 0 
8 378 -39 579 1 2 353 -516 -534 -530 0 0 
9 377 -42 579 1 1 353 -516 -535 -530 0 0 
10 378 -42 578 1 1 353 -516 -535 -530 0 0 
11 377 -41 579 2 1 353 -516 -534 -530 0 0 
12 378 -38 577 2 1 353 -515 -534 -529 0 0 
13 377 -36 579 2 1 353 -516 -535 -530 0 0 
14 376 -41 576 1 1 353 -516 -534 -530 0 0 
15 378 -44 577 1 1 353 -516 -534 -530 0 0 
16 380 -41 578 1 2 353 -516 -534 -530 0 0 
17 376 -40 578 1 2 354 -516 -534 -530 0 0 
18 377 -38 579 1 2 353 -516 -534 -529 0 0 
19 382 -37 579 1 2 353 -515 -534 -529 0 0 
20 379 -41 578 2 2 354 -515 -534 -530 0 0 
21 377 -39 577 1 1 353 -516 -534 -529 0 0 
22 376 -36 579 2 1 354 -516 -535 -530 0 0 
23 374 -37 579 2 1 354 -515 -534 -530 0 0 
24 378 -43 577 2 1 353 -515 -534 -530 0 0 
25 378 -38 579 1 1 353 -515 -534 -529 0 0 
26 377 -43 578 1 1 354 -515 -534 -530 0 0 
27 377 -39 577 1 2 353 -516 -534 -530 0 0 
28 380 -36 576 1 2 354 -516 -534 -529 0 0 
29 380 -46 578 1 2 354 -516 -534 -530 0 0 
30 375 -43 579 1 2 354 -515 -534 -529 0 0 
31 380 -36 578 1 1 354 -516 -534 -529 0 0 
32 376 -38 578 1 1 353 -516 -534 -529 0 0 
33 378 -41 578 1 1 353 -516 -534 -530 0 0 
34 377 -37 579 2 1 352 -515 -534 -529 0 0 
35 375 -40 577 2 1 353 -515 -534 -530 0 0 
36 379 -38 577 1 1 353 -515 -534 -530 0 0 
37 379 -40 578 1 2 353 -516 -535 -529 0 0 
38 379 -39 577 1 2 353 -515 -534 -530 0 0 
39 380 -34 579 1 2 353 -515 -534 -529 0 0 
40 379 -37 577 1 2 354 -516 -534 -529 0 0 
41 378 -40 577 1 1 354 -515 -534 -529 0 0 
42 378 -37 577 1 1 354 -515 -534 -529 0 0 
43 379 -41 577 2 1 354 -515 -535 -530 0 0 
44 377 -35 578 2 1 354 -514 -535 -529 0 0 
45 374 -39 577 2 1 354 -516 -534 -530 0 0 
46 379 -49 577 2 1 353 -516 -534 -530 0 0 
47 377 -43 578 1 2 353 -516 -534 -529 0 0 
48 380 -49 579 1 2 353 -516 -534 -529 0 0 
49 380 -43 579 1 2 353 -516 -534 -529 0 0 
50 379 -40 577 1 2 353 -516 -534 -530 0 0 
51 378 -40 578 1 2 353 -516 -534 -530 0 0 
52 378 -40 579 1 1 354 -515 -534 -529 0 0 
53 377 -44 578 2 1 353 -515 -534 -530 0 0 
54 378 -38 580 2 1 354 -514 -534 -530 0 0 
55 376 -39 578 2 1 354 -516 -534 -529 0 0 
56 379 -41 577 2 2 353 -515 -534 -529 0 0 
57 377 -46 577 1 2 353 -515 -534 -530 0 0 
58 379 -50 579 1 2 353 -515 -534 -530 0 0 
59 376 -44 578 1 1 354 -516 -534 -530 0 0 
60 382 -43 579 1 1 353 -515 -534 -529 0 0 
61 378 -48 578 1 1 353 -516 -534 -530 0 0 
62 376 -45 577 2 1 354 -516 -534 -530 0 0 
63 378 -38 577 1 2 353 -515 -534 -529 0 0 
64 377 -36 578 1 2 354 -516 -534 -530 0 0 
65 378 -41 577 1 2 355 -515 -534 -530 0 0 
66 374 -37 576 1 2 354 -515 -534 -530 0 0 
67 378 -39 580 1 2 354 -515 -534 -529 0 0 
68 377 -44 578 1 1 354 -516 -535 -530 0 0 
69 380 -44 578 1 1 354 -515 -534 -529 0 0 
70 379 -38 579 2 1 353 -516 -534 -530 0 0 
71 381 -50 581 1 1 353 -516 -535 -529 0 0 
72 377 -37 578 1 2 353 -516 -535 -529 0 0 
73 379 -43 578 1 2 354 -516 -534 -530 0 0 
74 377 -33 577 1 2 354 -516 -534 -529 0 0 
75 379 -44 579 1 2 354 -515 -534 -530 0 0 
76 377 -35 578 1 1 354 -516 -535 -530 0 0 
77 376 -40 577 2 1 354 -515 -534 -530 0 0 
78 378 -51 578 1 1 354 -515 -534 -529 0 0 
79 380 -48 577 2 1 354 -516 -534 -529 0 0 
80 380 -50 578 2 1 354 -515 -534 -529 0 0 
81 376 -43 576 2 1 353 -516 -534 -530 0 0 
82 379 -47 578 1 1 353 -516 -535 -529 0 0 
83 383 -44 578 1 2 353 -515 -534 -529 0 0 
84 378 -46 578 1 2 354 -516 -534 -529 0 0 
85 377 -49 578 1 2 354 -515 -534 -530 0 0 
86 378 -46 580 1 2 354 -516 -534 -529 0 0 
87 380 -45 578 1 2 353 -516 -535 -530 0 0 
88 377 -45 580 1 1 353 -515 -533 -530 0 0 
89 379 -42 578 2 1 353 -515 -534 -530 0 0 
90 377 -41 575 2 1 353 -516 -535 -529 0 0 
