0_SensorIndex,0_AccelX,0_AccelY,0_AccelZ,0_GyroX,0_GyroY,0_GyroZ,0_MagX,0_MagY,0_MagZ,0_Quat1,0_Quat2,0_Quat3,0_Quat4,0_Sampletime,0_Package,
0,225,148,935,10,3,-6,-796,-166,-512,10610,-598,-2189,-12277,43843,1,
0,220,149,930,2,-3,-3,-792,-196,-499,10610,-597,-2189,-12277,43903,4,
0,217,149,933,4,7,0,-792,-196,-499,10610,-597,-2189,-12277,43923,5,
0,220,146,933,-3,-4,4,-796,-179,-512,10610,-597,-2189,-12277,43943,6,
0,230,151,934,5,1,3,-796,-179,-512,10610,-597,-2189,-12277,43963,7,
0,228,146,941,-17,10,8,-803,-184,-505,10610,-597,-2189,-12277,43983,8,
0,228,147,931,1,-11,2,-803,-184,-505,10610,-598,-2187,-12277,44003,9,
0,229,151,939,10,1,-3,-803,-184,-505,10610,-598,-2188,-12277,44023,10,
0,227,148,934,3,-14,-2,-803,-179,-505,10610,-598,-2189,-12277,44043,11,
0,225,150,932,16,-7,-4,-803,-179,-505,10609,-599,-2192,-12277,44063,12,
0,219,147,936,-5,10,-6,-796,-179,-531,10609,-598,-2193,-12277,44083,13,
0,220,151,933,14,-9,-2,-796,-179,-531,10609,-597,-2192,-12277,44103,14,
0,221,146,931,-11,-7,1,-796,-179,-531,10609,-597,-2194,-12276,44123,15,
0,222,148,932,5,-7,-2,-796,-184,-524,10609,-598,-2193,-12277,44143,16,
0,225,149,933,-8,-6,4,-796,-184,-524,10609,-599,-2194,-12276,44163,17,
0,225,148,936,-6,-1,3,-796,-184,-505,10609,-600,-2193,-12277,44183,18,
0,226,149,933,3,1,-2,-796,-184,-505,10609,-600,-2193,-12277,44203,19,
0,223,145,936,-2,5,0,-796,-184,-505,10609,-600,-2193,-12277,44223,20,
0,227,150,933,7,-8,-2,-796,-190,-505,10609,-600,-2193,-12277,44243,21,
0,224,149,935,-1,6,-3,-796,-190,-505,10609,-600,-2193,-12277,44263,22,
0,223,149,934,1,1,-2,-792,-172,-512,10609,-600,-2193,-12277,44283,23,
0,222,151,932,6,1,0,-792,-172,-512,10609,-600,-2193,-12277,44303,24,
0,223,149,937,0,-4,3,-792,-172,-512,10609,-600,-2193,-12277,44323,25,
0,224,147,935,-2,-9,4,-785,-184,-499,10609,-600,-2193,-12277,44343,26,
0,222,150,934,2,4,-1,-785,-184,-499,10609,-600,-2193,-12277,44363,27,
0,228,149,934,2,-6,0,-803,-184,-524,10609,-600,-2193,-12277,44383,28,
0,227,149,930,0,4,0,-803,-184,-524,10609,-600,-2193,-12277,44403,29,
0,227,149,934,8,-10,0,-803,-184,-524,10609,-600,-2193,-12277,44423,30,
0,227,149,935,-1,-10,1,-803,-184,-518,10609,-601,-2194,-12277,44443,31,
0,224,149,933,7,-6,-2,-803,-184,-518,10609,-602,-2195,-12277,44463,32,
0,226,148,935,2,-8,-1,-796,-179,-480,10609,-602,-2195,-12277,44483,33,
0,225,150,932,6,-4,-2,-796,-179,-480,10609,-602,-2195,-12277,44503,34,
0,230,154,928,4,-5,-3,-796,-179,-480,10609,-602,-2195,-12277,44523,35,
0,224,152,932,-9,2,0,-792,-184,-505,10609,-602,-2195,-12277,44543,36,
0,225,150,924,-18,-25,5,-792,-184,-505,10609,-603,-2195,-12277,44563,37,
0,235,139,944,-18,43,-3,-785,-184,-499,10608,-607,-2193,-12277,44582,38,
0,235,146,955,15,-22,-7,-785,-184,-499,10609,-604,-2189,-12277,44603,39,
0,226,140,943,-20,7,1,-785,-184,-499,10609,-604,-2192,-12277,44623,40,
0,226,134,950,23,-11,-3,-785,-172,-499,10608,-606,-2189,-12277,44642,41,
0,229,145,935,-6,-14,-3,-785,-172,-499,10608,-605,-2194,-12277,44663,42,
0,219,146,931,13,-2,-4,-803,-184,-491,10608,-606,-2195,-12277,44683,43,
0,230,151,925,7,-17,-7,-803,-184,-491,10608,-606,-2199,-12276,44703,44,
0,219,149,933,-8,23,2,-803,-184,-491,10608,-607,-2200,-12276,44723,45,
0,225,148,936,2,-4,3,-803,-172,-484,10608,-605,-2198,-12276,44743,46,
0,228,151,933,8,-6,4,-803,-172,-484,10608,-605,-2198,-12276,44763,47,
0,231,151,933,2,-10,4,-796,-179,-510,10608,-605,-2198,-12276,44783,48,
0,230,153,931,2,-1,-1,-796,-179,-510,10608,-606,-2199,-12276,44803,49,
0,229,148,932,-9,6,-3,-796,-179,-510,10608,-606,-2199,-12276,44823,50,
0,229,149,931,6,-4,-7,-816,-203,-510,10608,-606,-2199,-12276,44843,51,
0,225,149,936,-3,15,-4,-816,-203,-510,10608,-605,-2200,-12276,44863,52,
0,224,149,938,3,-3,-1,-803,-179,-484,10608,-604,-2197,-12276,44883,53,
0,224,147,928,0,-1,-3,-803,-179,-484,10608,-605,-2198,-12276,44903,54,
0,223,152,938,11,7,-3,-803,-179,-484,10608,-604,-2197,-12276,44923,55,
0,227,148,934,-9,-10,2,-796,-184,-478,10608,-603,-2198,-12276,44943,56,
0,224,149,932,-4,4,3,-796,-184,-478,10608,-604,-2199,-12276,44963,57,
0,229,148,936,-3,-8,1,-796,-172,-491,10608,-604,-2199,-12276,44983,58,
0,229,150,932,1,-14,4,-796,-172,-491,10608,-605,-2199,-12276,45003,59,
0,228,148,934,-8,-6,5,-796,-172,-491,10608,-606,-2200,-12276,45023,60,
0,228,149,934,8,-6,-1,-792,-179,-497,10608,-606,-2200,-12276,45043,61,
0,229,151,933,2,-5,-1,-792,-179,-497,10608,-605,-2201,-12276,45063,62,
0,230,146,932,-2,-5,-2,-803,-179,-504,10608,-605,-2201,-12276,45083,63,
0,226,152,931,5,4,-1,-803,-179,-504,10608,-605,-2201,-12276,45103,64,
0,223,148,936,-2,-3,-4,-803,-179,-504,10608,-605,-2201,-12276,45123,65,
0,227,150,934,7,-6,0,-803,-190,-484,10608,-605,-2201,-12276,45143,66,
0,225,148,933,-4,1,0,-803,-190,-484,10608,-605,-2201,-12276,45163,67,
0,227,148,936,6,-4,0,-792,-179,-510,10608,-605,-2201,-12276,45183,68,
0,228,151,935,-3,4,2,-792,-179,-510,10608,-605,-2201,-12276,45203,69,
0,227,148,937,1,-10,0,-792,-179,-510,10608,-605,-2201,-12276,45223,70,
0,230,150,934,-1,-5,-4,-796,-184,-497,10608,-606,-2201,-12276,45243,71,
0,225,149,932,-1,4,-1,-796,-184,-497,10608,-606,-2201,-12276,45263,72,
0,229,151,934,4,-6,-1,-803,-184,-497,10608,-606,-2201,-12276,45283,73,
0,224,146,930,-3,-3,2,-803,-184,-497,10608,-606,-2201,-12276,45303,74,
0,227,146,931,5,-4,-5,-803,-184,-497,10608,-606,-2201,-12276,45323,75,
0,225,148,940,5,4,-2,-809,-190,-497,10608,-605,-2202,-12276,45343,76,
0,224,148,934,2,-6,-2,-809,-190,-497,10608,-605,-2202,-12276,45363,77,
0,227,148,932,1,-1,-2,-803,-184,-504,10608,-606,-2203,-12276,45383,78,
0,227,149,938,6,5,-2,-803,-184,-504,10608,-605,-2202,-12276,45403,79,
